Product,Unit,Order Qty,Avg Monthly Usage,Stock on Hand,Priority,Seasonal Peak
Chix Halal Thigh Bnls Sknls,CATCH WGT/#,56130,39468,4,A,False
Cheese Pizza Blnd Prov-Mozz,CATCH WGT/#,11259,9789,6,A,False
Beef Halal Cert Ground 80/20,CATCH WGT/#,10564,1845,9,A,False
Beef Chuck Roll,LB,7722,631,6,A,False
Beef Patty 5 Oz 80/20,FRZN WGT/#,6983,6934,6,A,False
Beef Stk Flank,CATCH WGT/#,6403,5108,2,A,False
Turkey Brst Raw Bnls,CATCH WGT/#,5667,4104,3,A,False
Cheese Cheddar Shrd,CATCH WGT/#,4909,4586,4,A,False
Deli Turkey Brst Fc Fresh,CATCH WGT/#,4205,3065,4,A,False
Deli Pork Ham Smkd Bnls Fc,CATCH WGT/#,4012,3033,6,A,False
Cheese Amer Yel Slcd 160Ct,CATCH WGT/#,3386,2892,9,A,False
Pork Butt Bnls,CATCH WGT/#,3348,3415,4,A,False
Cheese Prov Slcd,CATCH WGT/#,3165,2559,8,A,False
Shlfsh Shrimp Raw Pld No Tail,CATCH WGT/#,3093,2323,9,A,False
Deli Chix Brst Fc,CATCH WGT/#,2873,1284,8,A,False
Pork Rib Spare St Louis,LB,2484,1558,4,A,False
"Beef Cubes 3/4""",CATCH WGT/#,2443,1422,4,A,False
Cheese Cheddar Slcd,CATCH WGT/#,2136,1275,4,A,False
Cheese Ched Whit/Jack Shrd,CATCH WGT/#,2134,1167,8,A,False
Beef Patty 2.67 Oz 80/20,CATCH WGT/#,2071,1625,1,A,False
# Beef Ground Fresh 80/20,FRZN WGT/#,1933,2068,9,A,True
Chix Brst Tender Brd,10 #/CASE,1905,1552,3,A,False
Beef Brisket Raw Bnls Mbg #120,CATCH WGT/#,1825,2212,6,A,False
Deli Turkey Brst Gf Fc Slcd,CATCH WGT/#,1799,1188,11,A,False
$$ Pepsi Aquafina Wtr 16.9Oz Pl 1/24 Pk,1-24PK,1775,850,10,A,False
Pork Sausage Ital Swt Rope,CATCH WGT/#,1747,946,9,A,False
Deli Beef Rst Select Fc,CATCH WGT/#,1544,1012,7,A,False
Chix Brst Strip Grl Fc,10#/CS,1447,1099,28,A,False
Deli Salami Genoa,CATCH WGT/#,1422,904,8,A,False
Chix Brst Nat Filet Sknls Gf 4Oz,10#/CS,1356,1236,2,A,False
# Chix Thigh Bnls Sknls Split Kosher,CATCH WGT/#,1278,852,12,A,False
Cheese Amer Sharp Whit,CATCH WGT/#,1213,493,9,A,False
Shlfsh Shrimp Raw Pd 21-25Ct,CATCH WGT/#,1130,752,9,A,False
