"Storage 
Area","Storage 
Sequence","Item 
Number",Item Name,Pack,On Hand Count,"Gross Case 
Weight",TIxHI,Remaining Shelf life on existing inventory,Inventory Lot Number,03/01/25-03/31/25,04/01/25-04/30/25,05/01/25-05/31/25,06/01/25-06/23/25,06/24/25-07/31/25,08/01/25-08/31/25,09/01/25-09/30/25,10/01/25-10/31/25,11/01/25-11/30/25,12/01/25-12/31/25,01/01/26-01/31/26,02/01/26-02/24/26,Total Usage,,,
7,6723,3019,# OATS ROLLED OLD FASHIONED GF,25 LB/BAG,,,,,,15,26,5,2,9,7,28,33,15,18,19,28,205,,,
8,5699,3959,# APRON CLOTH BLACK,72 EA/CS,,,,,,0,0,0,0,0,0,0,5,0,0,6,0,11,,,
8,5697,3956,# APRON CLOTH WHITE,72 EA/CS,,,,,,0,0,18,0,0,0,0,2,0,0,0,0,20,,,
41,2754,3268,# ATH BEEF CHEESE STK MEAT FC,10 LB/CS,,,,,,14,17,6,0,7,17,19,18,15,4,13,11,141,,,
7,4570,1290,# ATH BEV MIX HOT CHOC,8-4.5#/CS,,,,,,0,0,0,0,0,0,1,0,1,1,0,6,9,,,
8,5719,3982,# BAG LAUNDRY,50 EA/CS,,,,,,0,0,0,0,2,1,0,0,1,0,0,1,5,,,
41,1592,3847,# BEEF BRISKET KOSHER,CATCH WGT/#,,,,,,126,255,0,0,121,172,0,133,57,0,0,66,931,,,
41,2495,686,# BEEF GROUND FRESH 80/20,FRZN WGT/#,,,,,,2792,4460,1616,640,1045,2280,2478,2660,1295,620,2786,2140,24813,,,
41,2528,4350,# BEEF MOCK TENDER KOSHER,CATCH WGT/#,,,,,,562,535,0,0,530,288,778,402,347,314,322,346,4424,,,
41,2499,3415,# BEEF PATTY FC 5OZ CONCESSION,32-5OZ/CS,,,,,,50,10,0,0,2,2,18,0,20,6,10,87,205,,,
7,5029,1859,# BEVI BLOOD ORANGE,1 GAL,,,,,,0,0,0,0,6,2,12,8,1,4,4,6,43,,,
7,5021,1861,# BEVI CUCUMBER,1 GAL,,,,,,0,0,0,0,4,4,13,5,2,1,3,6,38,,,
7,5017,1864,# BEVI LEMON,1 GAL,,,,,,0,0,0,0,10,6,24,19,11,2,11,13,96,,,
7,5025,1867,# BEVI LIME MINT,1 GAL,,,,,,0,0,0,0,6,2,16,11,6,4,5,8,58,,,
7,5028,1869,# BEVI PEACH MANGO,1 GAL,,,,,,0,0,0,0,7,7,21,15,8,5,9,12,84,,,
7,5024,1870,# BEVI POMEGRANATE BLUEBERRY,1 GAL,,,,,,0,0,0,0,8,1,18,13,5,3,4,10,62,,,
7,5019,1871,# BEVI RASPBERRY,1 GAL,,,,,,0,0,0,0,7,6,24,20,6,7,9,13,92,,,
7,5001,1873,# BEVI STRAWBERRY LEMONGRASS,1 GAL,,,,,,0,0,0,0,4,6,13,9,3,2,2,6,45,,,
8,8719,6743,# BJC BOX CHICKEN TENDER WHITE,300 EA/CS,,,,,,0,0,0,0,0,0,6,0,30,1,0,7,44,,,
