Item Name,Item Category,Pack,Period,Quantity Used,PSU Semester
# OATS ROLLED OLD FASHIONED GF,Food,25 LB/BAG,03/01/25-03/31/25,15,Spring Semester
# APRON CLOTH BLACK,Supply,72 EA/CS,03/01/25-03/31/25,0,Spring Semester
# APRON CLOTH WHITE,Supply,72 EA/CS,03/01/25-03/31/25,0,Spring Semester
# ATH BEEF CHEESE STK MEAT FC,Food,10 LB/CS,03/01/25-03/31/25,14,Spring Semester
# ATH BEV MIX HOT CHOC,Food,8-4.5#/CS,03/01/25-03/31/25,0,Spring Semester
# BAG LAUNDRY,Supply,50 EA/CS,03/01/25-03/31/25,0,Spring Semester
# BEEF BRISKET KOSHER,Food,CATCH WGT/#,03/01/25-03/31/25,126,Spring Semester
# BEEF GROUND FRESH 80/20,Food,FRZN WGT/#,03/01/25-03/31/25,2792,Spring Semester
# BEEF MOCK TENDER KOSHER,Food,CATCH WGT/#,03/01/25-03/31/25,562,Spring Semester
# BEEF PATTY FC 5OZ CONCESSION,Food,32-5OZ/CS,03/01/25-03/31/25,50,Spring Semester
# BEVI BLOOD ORANGE,Food,1 GAL,03/01/25-03/31/25,0,Spring Semester
# BEVI CUCUMBER,Food,1 GAL,03/01/25-03/31/25,0,Spring Semester
# BEVI LEMON,Food,1 GAL,03/01/25-03/31/25,0,Spring Semester
# BEVI LIME MINT,Food,1 GAL,03/01/25-03/31/25,0,Spring Semester
# BEVI PEACH MANGO,Food,1 GAL,03/01/25-03/31/25,0,Spring Semester
# BEVI POMEGRANATE BLUEBERRY,Food,1 GAL,03/01/25-03/31/25,0,Spring Semester
# BEVI RASPBERRY,Food,1 GAL,03/01/25-03/31/25,0,Spring Semester
# BEVI STRAWBERRY LEMONGRASS,Food,1 GAL,03/01/25-03/31/25,0,Spring Semester
# BJC BOX CHICKEN TENDER WHITE,Food,300 EA/CS,03/01/25-03/31/25,0,Spring Semester
# BJC BOX FRYBASKET WHITE,Food,450 EA/CS,03/01/25-03/31/25,0,Spring Semester
# BJC CARRY OUT TRAYS,Food,400/CASE,03/01/25-03/31/25,0,Spring Semester
