Item Name,PSU Semester,Quantity Used
# ATH BEEF CHEESE STK MEAT FC,Fall Semester,17.333333333333332
# ATH BEEF CHEESE STK MEAT FC,Spring Semester,12.0
# ATH BEEF CHEESE STK MEAT FC,Summer Semester,8.0
# ATH BEEF CHEESE STK MEAT FC,Winter Break,8.5
# ATH BEV MIX HOT CHOC,Fall Semester,0.6666666666666666
# ATH BEV MIX HOT CHOC,Spring Semester,1.5
# ATH BEV MIX HOT CHOC,Summer Semester,0.0
# ATH BEV MIX HOT CHOC,Winter Break,0.5
# BEEF BRISKET KOSHER,Fall Semester,63.333333333333336
# BEEF BRISKET KOSHER,Spring Semester,111.75
# BEEF BRISKET KOSHER,Summer Semester,97.66666666666667
# BEEF BRISKET KOSHER,Winter Break,0.0
# BEEF GROUND FRESH 80/20,Fall Semester,2144.3333333333335
# BEEF GROUND FRESH 80/20,Spring Semester,2752.0
# BEEF GROUND FRESH 80/20,Summer Semester,1321.6666666666667
# BEEF GROUND FRESH 80/20,Winter Break,1703.0
# BEEF MOCK TENDER KOSHER,Fall Semester,509.0
# BEEF MOCK TENDER KOSHER,Spring Semester,360.75
# BEEF MOCK TENDER KOSHER,Summer Semester,272.6666666666667
# BEEF MOCK TENDER KOSHER,Winter Break,318.0
# BEEF PATTY FC 5OZ CONCESSION,Fall Semester,12.666666666666666
# BEEF PATTY FC 5OZ CONCESSION,Spring Semester,36.75
# BEEF PATTY FC 5OZ CONCESSION,Summer Semester,1.3333333333333333
# BEEF PATTY FC 5OZ CONCESSION,Winter Break,8.0
# BEVI BLOOD ORANGE,Fall Semester,7.0
# BEVI BLOOD ORANGE,Spring Semester,1.5
# BEVI BLOOD ORANGE,Summer Semester,2.6666666666666665
# BEVI BLOOD ORANGE,Winter Break,4.0
# BEVI CUCUMBER,Fall Semester,6.666666666666667
# BEVI CUCUMBER,Spring Semester,1.5
# BEVI CUCUMBER,Summer Semester,2.6666666666666665
# BEVI CUCUMBER,Winter Break,2.0
# BEVI LEMON,Fall Semester,18.0
# BEVI LEMON,Spring Semester,3.25
# BEVI LEMON,Summer Semester,5.333333333333333
# BEVI LEMON,Winter Break,6.5
# BEVI LIME MINT,Fall Semester,11.0
# BEVI LIME MINT,Spring Semester,2.0
# BEVI LIME MINT,Summer Semester,2.6666666666666665
# BEVI LIME MINT,Winter Break,4.5
# BEVI PEACH MANGO,Fall Semester,14.666666666666666
# BEVI PEACH MANGO,Spring Semester,3.0
# BEVI PEACH MANGO,Summer Semester,4.666666666666667
# BEVI PEACH MANGO,Winter Break,7.0
# BEVI POMEGRANATE BLUEBERRY,Fall Semester,12.0
# BEVI POMEGRANATE BLUEBERRY,Spring Semester,2.5
# BEVI POMEGRANATE BLUEBERRY,Summer Semester,3.0
# BEVI POMEGRANATE BLUEBERRY,Winter Break,3.5
# BEVI RASPBERRY,Fall Semester,16.666666666666668
# BEVI RASPBERRY,Spring Semester,3.25
# BEVI RASPBERRY,Summer Semester,4.333333333333333
# BEVI RASPBERRY,Winter Break,8.0
# BEVI STRAWBERRY LEMONGRASS,Fall Semester,8.333333333333334
# BEVI STRAWBERRY LEMONGRASS,Spring Semester,1.5
# BEVI STRAWBERRY LEMONGRASS,Summer Semester,3.3333333333333335
# BEVI STRAWBERRY LEMONGRASS,Winter Break,2.0
# BJC BOX CHICKEN TENDER WHITE,Fall Semester,12.0
# BJC BOX CHICKEN TENDER WHITE,Spring Semester,1.75
# BJC BOX CHICKEN TENDER WHITE,Summer Semester,0.0
# BJC BOX CHICKEN TENDER WHITE,Winter Break,0.5
# BJC BOX FRYBASKET WHITE,Fall Semester,6.0
# BJC BOX FRYBASKET WHITE,Spring Semester,0.0
# BJC BOX FRYBASKET WHITE,Summer Semester,0.0
# BJC BOX FRYBASKET WHITE,Winter Break,0.5
# BJC CARRY OUT TRAYS,Fall Semester,2.6666666666666665
# BJC CARRY OUT TRAYS,Spring Semester,3.5
# BJC CARRY OUT TRAYS,Summer Semester,0.0
# BJC CARRY OUT TRAYS,Winter Break,1.0
# BJC CLAMSHELL BURGER WHITE,Fall Semester,0.0
# BJC CLAMSHELL BURGER WHITE,Spring Semester,0.5
# BJC CLAMSHELL BURGER WHITE,Summer Semester,0.0
# BJC CLAMSHELL BURGER WHITE,Winter Break,0.5
# BJC CLAMSHELL HOTDOG WHITE,Fall Semester,0.6666666666666666
# BJC CLAMSHELL HOTDOG WHITE,Spring Semester,0.75
# BJC CLAMSHELL HOTDOG WHITE,Summer Semester,0.0
# BJC CLAMSHELL HOTDOG WHITE,Winter Break,0.5
# BJC HOT DOG BEEF 6/#,Fall Semester,185.66666666666666
# BJC HOT DOG BEEF 6/#,Spring Semester,619.75
# BJC HOT DOG BEEF 6/#,Summer Semester,0.0
# BJC HOT DOG BEEF 6/#,Winter Break,207.5
# BJC HOT DOG BEEF 8/#,Fall Semester,40.0
# BJC HOT DOG BEEF 8/#,Spring Semester,11.25
# BJC HOT DOG BEEF 8/#,Summer Semester,0.0
# BJC HOT DOG BEEF 8/#,Winter Break,50.0
"# BJC LID DOME FOR 12"" SQ PLATTER",Fall Semester,1.6666666666666667
"# BJC LID DOME FOR 12"" SQ PLATTER",Spring Semester,0.0
"# BJC LID DOME FOR 12"" SQ PLATTER",Summer Semester,1.3333333333333333
"# BJC LID DOME FOR 12"" SQ PLATTER",Winter Break,0.0
"# BJC LID DOME FOR 16"" SQ PLATTER",Fall Semester,1.3333333333333333
"# BJC LID DOME FOR 16"" SQ PLATTER",Spring Semester,0.0
"# BJC LID DOME FOR 16"" SQ PLATTER",Summer Semester,1.6666666666666667
"# BJC LID DOME FOR 16"" SQ PLATTER",Winter Break,0.0
# BJC LID DOME FOR 9X22 PLATTER,Fall Semester,1.6666666666666667
# BJC LID DOME FOR 9X22 PLATTER,Spring Semester,0.0
# BJC LID DOME FOR 9X22 PLATTER,Summer Semester,0.0
# BJC LID DOME FOR 9X22 PLATTER,Winter Break,0.0
# BJC OIL POPCORN,Fall Semester,0.3333333333333333
# BJC OIL POPCORN,Spring Semester,3.75
# BJC OIL POPCORN,Summer Semester,0.0
# BJC OIL POPCORN,Winter Break,1.0
"# BJC PLATTER WHITE 12"" SQ",Fall Semester,2.0
"# BJC PLATTER WHITE 12"" SQ",Spring Semester,0.25
"# BJC PLATTER WHITE 12"" SQ",Summer Semester,0.3333333333333333
"# BJC PLATTER WHITE 12"" SQ",Winter Break,0.0
"# BJC PLATTER WHITE 16"" SQ",Fall Semester,1.3333333333333333
"# BJC PLATTER WHITE 16"" SQ",Spring Semester,0.0
"# BJC PLATTER WHITE 16"" SQ",Summer Semester,1.6666666666666667
"# BJC PLATTER WHITE 16"" SQ",Winter Break,0.0
# BJC PLATTER WHITE 9X22 REC,Fall Semester,1.6666666666666667
# BJC PLATTER WHITE 9X22 REC,Spring Semester,0.0
# BJC PLATTER WHITE 9X22 REC,Summer Semester,0.0
# BJC PLATTER WHITE 9X22 REC,Winter Break,0.0
# BJC POPCORN RAW BULK,Fall Semester,9.0
# BJC POPCORN RAW BULK,Spring Semester,11.0
# BJC POPCORN RAW BULK,Summer Semester,0.0
# BJC POPCORN RAW BULK,Winter Break,0.0
# BJC PORK PULLED BBQ,Fall Semester,37.333333333333336
# BJC PORK PULLED BBQ,Spring Semester,46.0
# BJC PORK PULLED BBQ,Summer Semester,40.333333333333336
# BJC PORK PULLED BBQ,Winter Break,35.5
# BJC PORK SAUSAGE ITAL SWEET LINK,Fall Semester,63.333333333333336
# BJC PORK SAUSAGE ITAL SWEET LINK,Spring Semester,53.5
# BJC PORK SAUSAGE ITAL SWEET LINK,Summer Semester,0.0
# BJC PORK SAUSAGE ITAL SWEET LINK,Winter Break,0.5
# BJC SAUSAGE BRATWURST FC,Fall Semester,0.0
# BJC SAUSAGE BRATWURST FC,Spring Semester,10.0
# BJC SAUSAGE BRATWURST FC,Summer Semester,0.0
# BJC SAUSAGE BRATWURST FC,Winter Break,0.0
# BOBA CREAMER ND,Fall Semester,3.0
# BOBA CREAMER ND,Spring Semester,2.5
# BOBA CREAMER ND,Summer Semester,1.3333333333333333
# BOBA CREAMER ND,Winter Break,2.0
# BOBA FLAV POWDER COCONUT FRUIT,Fall Semester,0.0
# BOBA FLAV POWDER COCONUT FRUIT,Spring Semester,0.25
# BOBA FLAV POWDER COCONUT FRUIT,Summer Semester,0.3333333333333333
